"playid"	"period"	"strength"	"time"	"event"	"description"	"player1visitor"	"player2visitor"	"player3visitor"	"player4visitor"	"player5visitor"	"player6visitor"	"player1posvisitor"	"player2posvisitor"	"player3posvisitor"	"player4posvisitor"	"player5posvisitor"	"player6posvisitor"	"player1home"	"player2home"	"player3home"	"player4home"	"player5home"	"player6home"	"player1poshome"	"player2poshome"	"player3poshome"	"player4poshome"	"player5poshome"	"player6poshome"
"30"	30	1	"EV"	"4:2415:36"	"GIVE"	"MTL GIVEAWAY - #81 ELLER, Off. Zone"	"81"	"17"	"21"	"40"	"43"	"31"	"C"	"R"	"R"	"D"	"D"	"G"	"34"	"25"	"21"	"47"	"86"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"31"	31	1	"EV"	"4:3815:22"	"HIT"	"BOS #25 FRASER HIT MTL #43 WEAVER, Off. Zone"	"81"	"17"	"21"	"40"	"43"	"31"	"C"	"R"	"R"	"D"	"D"	"G"	"34"	"25"	"21"	"43"	"55"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"32"	32	1	"EV"	"5:0114:59"	"HIT"	"BOS #34 SODERBERG HIT MTL #76 SUBBAN, Off. Zone"	"48"	"22"	"8"	"26"	"76"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"34"	"20"	"22"	"43"	"55"	"40"	"C"	"L"	"L"	"D"	"D"	"G"
"33"	33	1	"EV"	"5:2614:34"	"HIT"	"BOS #20 PAILLE HIT MTL #43 WEAVER, Off. Zone"	"14"	"22"	"49"	"40"	"43"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"11"	"20"	"22"	"27"	"33"	"40"	"C"	"L"	"L"	"D"	"D"	"G"
"34"	34	1	"EV"	"5:3014:30"	"HIT"	"BOS #22 THORNTON HIT MTL #49 BOURNIVAL, Off. Zone"	"14"	"22"	"49"	"40"	"43"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"11"	"20"	"22"	"27"	"33"	"40"	"C"	"L"	"L"	"D"	"D"	"G"
"35"	35	1	"EV"	"5:3314:27"	"TAKE"	"MTL TAKEAWAY - #49 BOURNIVAL, Def. Zone"	"14"	"22"	"49"	"40"	"43"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"11"	"20"	"22"	"27"	"33"	"40"	"C"	"L"	"L"	"D"	"D"	"G"
"36"	36	1	" "	"5:3714:23"	"STOP"	"OFFSIDE"	"14"	"20"	"49"	"74"	"79"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"11"	"20"	"22"	"27"	"33"	"40"	"C"	"L"	"L"	"D"	"D"	"G"
"37"	37	1	"EV"	"5:3714:23"	"FAC"	"BOS won Neu. Zone - MTL #14 PLEKANEC vs BOS #37 BERGERON"	"14"	"20"	"49"	"74"	"79"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"37"	"63"	"18"	"43"	"55"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"38"	38	1	"EV"	"5:5114:09"	"HIT"	"BOS #55 BOYCHUK HIT MTL #49 BOURNIVAL, Def. Zone"	"14"	"20"	"49"	"74"	"79"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"37"	"63"	"18"	"43"	"55"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"39"	39	1	"EV"	"6:0313:57"	"TAKE"	"MTL TAKEAWAY - #79 MARKOV, Def. Zone"	"14"	"20"	"49"	"74"	"79"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"37"	"63"	"18"	"43"	"55"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
